userId,recommendations
1,"[Row(movieId=3216, rating=4.050686359405518), Row(movieId=26974, rating=3.9707748889923096), Row(movieId=97957, rating=3.8724117279052734), Row(movieId=83411, rating=3.789327621459961), Row(movieId=83359, rating=3.789327621459961), Row(movieId=83318, rating=3.789327621459961), Row(movieId=67504, rating=3.789327621459961), Row(movieId=3167, rating=3.755509853363037), Row(movieId=1131, rating=3.742976665496826), Row(movieId=27773, rating=3.7386372089385986)]"
2,"[Row(movieId=83411, rating=5.314687728881836), Row(movieId=83359, rating=5.314687728881836), Row(movieId=83318, rating=5.314687728881836), Row(movieId=67504, rating=5.314687728881836), Row(movieId=65188, rating=4.988687515258789), Row(movieId=2563, rating=4.808970928192139), Row(movieId=735, rating=4.804588317871094), Row(movieId=72647, rating=4.783219337463379), Row(movieId=31547, rating=4.783219337463379), Row(movieId=26400, rating=4.783219337463379)]"
3,"[Row(movieId=83411, rating=5.222310543060303), Row(movieId=83359, rating=5.222310543060303), Row(movieId=83318, rating=5.222310543060303), Row(movieId=67504, rating=5.222310543060303), Row(movieId=72647, rating=4.700079441070557), Row(movieId=31547, rating=4.700079441070557), Row(movieId=26400, rating=4.700079441070557), Row(movieId=25764, rating=4.700079441070557), Row(movieId=8797, rating=4.700079441070557), Row(movieId=8609, rating=4.700079441070557)]"
4,"[Row(movieId=83411, rating=6.785428047180176), Row(movieId=83359, rating=6.785428047180176), Row(movieId=83318, rating=6.785428047180176), Row(movieId=67504, rating=6.785428047180176), Row(movieId=72647, rating=6.106884956359863), Row(movieId=31547, rating=6.106884956359863), Row(movieId=26400, rating=6.106884956359863), Row(movieId=25764, rating=6.106884956359863), Row(movieId=8797, rating=6.106884956359863), Row(movieId=8609, rating=6.106884956359863)]"
5,"[Row(movieId=83411, rating=5.192363739013672), Row(movieId=83359, rating=5.192363739013672), Row(movieId=83318, rating=5.192363739013672), Row(movieId=67504, rating=5.192363739013672), Row(movieId=8530, rating=5.1634087562561035), Row(movieId=68073, rating=5.014370918273926), Row(movieId=79824, rating=5.012711048126221), Row(movieId=65037, rating=5.012214183807373), Row(movieId=65188, rating=4.994231700897217), Row(movieId=80839, rating=4.957071304321289)]"
6,"[Row(movieId=83411, rating=5.450916767120361), Row(movieId=83359, rating=5.450916767120361), Row(movieId=83318, rating=5.450916767120361), Row(movieId=67504, rating=5.450916767120361), Row(movieId=72647, rating=4.905825614929199), Row(movieId=31547, rating=4.905825614929199), Row(movieId=26400, rating=4.905825614929199), Row(movieId=25764, rating=4.905825614929199), Row(movieId=8797, rating=4.905825614929199), Row(movieId=8609, rating=4.905825614929199)]"
7,"[Row(movieId=83411, rating=5.489253044128418), Row(movieId=83359, rating=5.489253044128418), Row(movieId=83318, rating=5.489253044128418), Row(movieId=67504, rating=5.489253044128418), Row(movieId=72647, rating=4.9403276443481445), Row(movieId=31547, rating=4.9403276443481445), Row(movieId=26400, rating=4.9403276443481445), Row(movieId=25764, rating=4.9403276443481445), Row(movieId=8797, rating=4.9403276443481445), Row(movieId=8609, rating=4.9403276443481445)]"
8,"[Row(movieId=83411, rating=5.201024055480957), Row(movieId=83359, rating=5.201024055480957), Row(movieId=83318, rating=5.201024055480957), Row(movieId=67504, rating=5.201024055480957), Row(movieId=3216, rating=5.080282688140869), Row(movieId=65037, rating=4.869936466217041), Row(movieId=6063, rating=4.829217910766602), Row(movieId=97957, rating=4.818251132965088), Row(movieId=1859, rating=4.78563117980957), Row(movieId=132333, rating=4.755660533905029)]"
9,"[Row(movieId=83411, rating=5.462539196014404), Row(movieId=83359, rating=5.462539196014404), Row(movieId=83318, rating=5.462539196014404), Row(movieId=67504, rating=5.462539196014404), Row(movieId=72647, rating=4.916285514831543), Row(movieId=31547, rating=4.916285514831543), Row(movieId=26400, rating=4.916285514831543), Row(movieId=25764, rating=4.916285514831543), Row(movieId=8797, rating=4.916285514831543), Row(movieId=8609, rating=4.916285514831543)]"
10,"[Row(movieId=83411, rating=5.652050495147705), Row(movieId=83359, rating=5.652050495147705), Row(movieId=83318, rating=5.652050495147705), Row(movieId=67504, rating=5.652050495147705), Row(movieId=72647, rating=5.086845874786377), Row(movieId=31547, rating=5.086845874786377), Row(movieId=26400, rating=5.086845874786377), Row(movieId=25764, rating=5.086845874786377), Row(movieId=8797, rating=5.086845874786377), Row(movieId=8609, rating=5.086845874786377)]"
11,"[Row(movieId=83411, rating=5.8635149002075195), Row(movieId=83359, rating=5.8635149002075195), Row(movieId=83318, rating=5.8635149002075195), Row(movieId=67504, rating=5.8635149002075195), Row(movieId=65037, rating=5.444692611694336), Row(movieId=3216, rating=5.3524699211120605), Row(movieId=54328, rating=5.330979824066162), Row(movieId=31435, rating=5.278311729431152), Row(movieId=72647, rating=5.277163505554199), Row(movieId=31547, rating=5.277163505554199)]"
12,"[Row(movieId=3879, rating=4.918386459350586), Row(movieId=1693, rating=4.505950927734375), Row(movieId=149, rating=4.4622578620910645), Row(movieId=3181, rating=4.441223621368408), Row(movieId=4754, rating=4.279020309448242), Row(movieId=86, rating=4.206754684448242), Row(movieId=1875, rating=4.195504188537598), Row(movieId=3914, rating=4.131633281707764), Row(movieId=1648, rating=4.115795135498047), Row(movieId=8530, rating=4.1153244972229)]"
13,"[Row(movieId=83411, rating=4.9667134284973145), Row(movieId=83359, rating=4.9667134284973145), Row(movieId=83318, rating=4.9667134284973145), Row(movieId=67504, rating=4.9667134284973145), Row(movieId=8530, rating=4.903894424438477), Row(movieId=65037, rating=4.715771675109863), Row(movieId=76173, rating=4.585658550262451), Row(movieId=31435, rating=4.576967716217041), Row(movieId=72647, rating=4.470041751861572), Row(movieId=31547, rating=4.470041751861572)]"
14,"[Row(movieId=8535, rating=4.217717170715332), Row(movieId=26084, rating=4.198739528656006), Row(movieId=5792, rating=4.099672317504883), Row(movieId=26472, rating=4.037410736083984), Row(movieId=54328, rating=3.979137897491455), Row(movieId=1202, rating=3.9638915061950684), Row(movieId=213, rating=3.9381802082061768), Row(movieId=83411, rating=3.920631170272827), Row(movieId=83359, rating=3.920631170272827), Row(movieId=83318, rating=3.920631170272827)]"
15,"[Row(movieId=5071, rating=4.995650768280029), Row(movieId=4731, rating=4.995650768280029), Row(movieId=4302, rating=4.995650768280029), Row(movieId=1859, rating=4.925951957702637), Row(movieId=3915, rating=4.868399620056152), Row(movieId=26587, rating=4.764528274536133), Row(movieId=5893, rating=4.736138343811035), Row(movieId=26131, rating=4.724985599517822), Row(movieId=86781, rating=4.716900825500488), Row(movieId=2938, rating=4.645946979522705)]"
16,"[Row(movieId=83411, rating=5.468685626983643), Row(movieId=83359, rating=5.468685626983643), Row(movieId=83318, rating=5.468685626983643), Row(movieId=67504, rating=5.468685626983643), Row(movieId=3216, rating=5.412762641906738), Row(movieId=8535, rating=5.356739044189453), Row(movieId=2938, rating=5.328556537628174), Row(movieId=132333, rating=5.265208721160889), Row(movieId=5490, rating=5.265208721160889), Row(movieId=8197, rating=5.255112171173096)]"
17,"[Row(movieId=83411, rating=5.502291679382324), Row(movieId=83359, rating=5.502291679382324), Row(movieId=83318, rating=5.502291679382324), Row(movieId=67504, rating=5.502291679382324), Row(movieId=132333, rating=4.9640350341796875), Row(movieId=5490, rating=4.9640350341796875), Row(movieId=3153, rating=4.959327697753906), Row(movieId=72647, rating=4.952062606811523), Row(movieId=31547, rating=4.952062606811523), Row(movieId=26400, rating=4.952062606811523)]"
18,"[Row(movieId=83411, rating=5.205990314483643), Row(movieId=83359, rating=5.205990314483643), Row(movieId=83318, rating=5.205990314483643), Row(movieId=67504, rating=5.205990314483643), Row(movieId=3216, rating=4.780876159667969), Row(movieId=8751, rating=4.692162036895752), Row(movieId=54328, rating=4.688466548919678), Row(movieId=72647, rating=4.685392379760742), Row(movieId=31547, rating=4.685392379760742), Row(movieId=26400, rating=4.685392379760742)]"
19,"[Row(movieId=83411, rating=5.589486122131348), Row(movieId=83359, rating=5.589486122131348), Row(movieId=83318, rating=5.589486122131348), Row(movieId=67504, rating=5.589486122131348), Row(movieId=72647, rating=5.030536651611328), Row(movieId=31547, rating=5.030536651611328), Row(movieId=26400, rating=5.030536651611328), Row(movieId=25764, rating=5.030536651611328), Row(movieId=8797, rating=5.030536651611328), Row(movieId=8609, rating=5.030536651611328)]"
20,"[Row(movieId=51471, rating=4.832502365112305), Row(movieId=1162, rating=4.777266979217529), Row(movieId=31116, rating=4.768849849700928), Row(movieId=51412, rating=4.7472243309021), Row(movieId=7212, rating=4.724453926086426), Row(movieId=6959, rating=4.6288323402404785), Row(movieId=31694, rating=4.527961254119873), Row(movieId=32596, rating=4.515071392059326), Row(movieId=8865, rating=4.453743934631348), Row(movieId=8908, rating=4.451467037200928)]"
21,"[Row(movieId=83411, rating=5.1596784591674805), Row(movieId=83359, rating=5.1596784591674805), Row(movieId=83318, rating=5.1596784591674805), Row(movieId=67504, rating=5.1596784591674805), Row(movieId=72647, rating=4.643711090087891), Row(movieId=31547, rating=4.643711090087891), Row(movieId=26400, rating=4.643711090087891), Row(movieId=25764, rating=4.643711090087891), Row(movieId=8797, rating=4.643711090087891), Row(movieId=8609, rating=4.643711090087891)]"
22,"[Row(movieId=3216, rating=5.010164260864258), Row(movieId=83411, rating=4.981378078460693), Row(movieId=83359, rating=4.981378078460693), Row(movieId=83318, rating=4.981378078460693), Row(movieId=67504, rating=4.981378078460693), Row(movieId=97957, rating=4.7834882736206055), Row(movieId=132333, rating=4.584036350250244), Row(movieId=5490, rating=4.584036350250244), Row(movieId=6375, rating=4.487194061279297), Row(movieId=72647, rating=4.483239650726318)]"
23,"[Row(movieId=83411, rating=5.472815990447998), Row(movieId=83359, rating=5.472815990447998), Row(movieId=83318, rating=5.472815990447998), Row(movieId=67504, rating=5.472815990447998), Row(movieId=72647, rating=4.925534248352051), Row(movieId=31547, rating=4.925534248352051), Row(movieId=26400, rating=4.925534248352051), Row(movieId=25764, rating=4.925534248352051), Row(movieId=8797, rating=4.925534248352051), Row(movieId=8609, rating=4.925534248352051)]"
24,"[Row(movieId=8535, rating=4.8977813720703125), Row(movieId=3216, rating=4.8902788162231445), Row(movieId=6450, rating=4.820827960968018), Row(movieId=65037, rating=4.799530506134033), Row(movieId=8530, rating=4.77651834487915), Row(movieId=123, rating=4.746303081512451), Row(movieId=8197, rating=4.702071189880371), Row(movieId=2563, rating=4.672882556915283), Row(movieId=83411, rating=4.665277004241943), Row(movieId=83359, rating=4.665277004241943)]"
